inst_id,year,n_publications
I53279716,2019,43
I53279716,2020,74
I53279716,2021,60
I53279716,2022,77
I53279716,2023,60
I53279716,2024,91
I53279716,2025,107
I53279716,2026,46
I12789410,2006,196
I12789410,2007,129
I12789410,2008,191
I12789410,2009,185
I12789410,2010,370
I12789410,2011,372
I12789410,2012,431
I12789410,2013,566
I12789410,2014,731
I12789410,2015,657
I12789410,2016,706
I12789410,2017,830
I12789410,2018,971
I12789410,2019,1156
I12789410,2020,1619
I12789410,2021,1738
I12789410,2022,1590
I12789410,2023,1715
I12789410,2024,1545
I12789410,2025,1807
I12789410,2026,816
I22223346,2006,3
I22223346,2007,5
I22223346,2008,6
I22223346,2009,7
I22223346,2010,10
I22223346,2011,15
I22223346,2012,20
I22223346,2013,31
I22223346,2014,28
I22223346,2015,37
I22223346,2016,52
I22223346,2017,81
I22223346,2018,95
I22223346,2019,140
I22223346,2020,175
I22223346,2021,186
I22223346,2022,190
I22223346,2023,249
I22223346,2024,244
I22223346,2025,245
I22223346,2026,102
I4210153799,2006,0
I4210153799,2007,1
I4210153799,2008,1
I4210153799,2009,3
I4210153799,2010,1
I4210153799,2011,3
I4210153799,2012,11
I4210153799,2013,9
I4210153799,2014,11
I4210153799,2015,20
I4210153799,2016,27
I4210153799,2017,34
I4210153799,2018,59
I4210153799,2019,70
I4210153799,2020,121
I4210153799,2021,109
I4210153799,2022,131
I4210153799,2023,130
I4210153799,2024,181
I4210153799,2025,177
I4210153799,2026,74
I61869032,2006,1
I61869032,2007,0
I61869032,2008,1
I61869032,2009,6
I61869032,2010,4
I61869032,2011,7
I61869032,2012,6
I61869032,2013,23
I61869032,2014,19
I61869032,2015,21
I61869032,2016,23
I61869032,2017,50
I61869032,2018,99
I61869032,2019,96
I61869032,2020,94
I61869032,2021,168
I61869032,2022,208
I61869032,2023,250
I61869032,2024,311
I61869032,2025,287
I61869032,2026,132
I4405261291,2006,0
I4405261291,2007,0
I4405261291,2008,0
I4405261291,2009,0
I4405261291,2010,0
I4405261291,2011,0
I4405261291,2012,0
I4405261291,2013,0
