inst_id,year,n_citations
I2801972722,2013,NA
I2801972722,2014,NA
I2801972722,2015,1
I2801972722,2016,NA
I2801972722,2017,0
I2801972722,2018,0
I2801972722,2019,6
I2801972722,2020,NA
I2801972722,2021,NA
I2801972722,2022,NA
I2801972722,2023,33
I2801972722,2024,8
I2801972722,2025,7
I2801972722,2026,0
I4405258014,2006,NA
I4405258014,2007,NA
I4405258014,2008,NA
I4405258014,2009,NA
I4405258014,2010,NA
I4405258014,2011,NA
I4405258014,2012,NA
I4405258014,2013,NA
I4405258014,2014,NA
I4405258014,2015,NA
I4405258014,2016,NA
I4405258014,2017,NA
I4405258014,2018,NA
I4405258014,2019,NA
I4405258014,2020,NA
I4405258014,2021,NA
I4405258014,2022,NA
I4405258014,2023,NA
I4405258014,2024,NA
I4405258014,2025,NA
I4405258014,2026,NA
I4403928187,2006,NA
I4403928187,2007,NA
I4403928187,2008,NA
I4403928187,2009,NA
I4403928187,2010,NA
I4403928187,2011,NA
I4403928187,2012,NA
I4403928187,2013,NA
I4403928187,2014,NA
I4403928187,2015,NA
I4403928187,2016,NA
I4403928187,2017,NA
I4403928187,2018,NA
I4403928187,2019,NA
I4403928187,2020,NA
I4403928187,2021,NA
I4403928187,2022,0
I4403928187,2023,NA
I4403928187,2024,44
I4403928187,2025,0
I4403928187,2026,0
I118185606,2006,10039
I118185606,2007,9398
I118185606,2008,20139
I118185606,2009,11804
I118185606,2010,20598
I118185606,2011,19962
I118185606,2012,32228
I118185606,2013,41593
I118185606,2014,40641
I118185606,2015,28017
I118185606,2016,53427
I118185606,2017,28723
I118185606,2018,17182
I118185606,2019,18229
I118185606,2020,32818
I118185606,2021,21604
I118185606,2022,13494
I118185606,2023,11233
I118185606,2024,6285
I118185606,2025,3006
I118185606,2026,70
I4210108070,2006,NA
I4210108070,2007,203
I4210108070,2008,529
I4210108070,2009,338
I4210108070,2010,1071
I4210108070,2011,1385
I4210108070,2012,1171
I4210108070,2013,2047
I4210108070,2014,5828
I4210108070,2015,2447
I4210108070,2016,2653
I4210108070,2017,4402
I4210108070,2018,7743
I4210108070,2019,2941
I4210108070,2020,5772
I4210108070,2021,6034
I4210108070,2022,11352
I4210108070,2023,3091
I4210108070,2024,2920
I4210108070,2025,1889
I4210108070,2026,34
I4405260173,2006,NA
I4405260173,2007,NA
I4405260173,2008,NA
I4405260173,2009,NA
I4405260173,2010,NA
I4405260173,2011,NA
I4405260173,2012,NA
I4405260173,2013,NA
I4405260173,2014,NA
I4405260173,2015,NA
I4405260173,2016,NA
I4405260173,2017,NA
I4405260173,2018,NA
I4405260173,2019,NA
I4405260173,2020,NA
I4405260173,2021,NA
I4405260173,2022,NA
I4405260173,2023,NA
I4405260173,2024,NA
I4405260173,2025,NA
I4405260173,2026,NA
I4210098501,2006,NA
I4210098501,2007,NA
I4210098501,2008,NA
I4210098501,2009,NA
I4210098501,2010,NA
I4210098501,2011,NA
I4210098501,2012,NA
I4210098501,2013,NA
I4210098501,2014,NA
I4210098501,2015,NA
I4210098501,2016,NA
I4210098501,2017,NA
I4210098501,2018,7
I4210098501,2019,NA
I4210098501,2020,NA
I4210098501,2021,NA
I4210098501,2022,NA
I4210098501,2023,1
I4210098501,2024,NA
I4210098501,2025,NA
I4210098501,2026,NA
I3131883934,2006,150
I3131883934,2007,266
I3131883934,2008,249
I3131883934,2009,212
I3131883934,2010,346
I3131883934,2011,570
I3131883934,2012,839
I3131883934,2013,463
I3131883934,2014,571
I3131883934,2015,582
I3131883934,2016,679
I3131883934,2017,953
I3131883934,2018,709
I3131883934,2019,1337
I3131883934,2020,1492
I3131883934,2021,1695
I3131883934,2022,1421
I3131883934,2023,595
I3131883934,2024,506
I3131883934,2025,300
I3131883934,2026,8
I53279716,2006,77
I53279716,2007,322
I53279716,2008,178
I53279716,2009,279
I53279716,2010,75
I53279716,2011,364
I53279716,2012,234
I53279716,2013,526
I53279716,2014,257
I53279716,2015,706
I53279716,2016,602
I53279716,2017,295
I53279716,2018,146
I53279716,2019,423
I53279716,2020,813
I53279716,2021,1237
I53279716,2022,335
I53279716,2023,268
I53279716,2024,302
I53279716,2025,99
I53279716,2026,5
I12789410,2006,2365
